,SubjectName,ConstructName,QuestionText,AnswerText,MisconceptionId,MisconceptionName
1258,Area of Simple Shapes,Calculate the area of an isosceles triangle where the dimensions are given in the same units,What is the area of the triangle? ![An image of a triangle. The width is marked /sqrt(64) and the vertical height is marked 4cm. ](),\( 32 \mathrm{~cm}^{2} \),159.0,Does not divide by 2 when calculating the area of a triangle
1259,Area of Simple Shapes,Calculate the area of an isosceles triangle where the dimensions are given in the same units,What is the area of the triangle? ![An image of a triangle. The width is marked /sqrt(64) and the vertical height is marked 4cm. ](),\( 64 \mathrm{~cm}^{2} \),808.0,Thinks they double rather than halve when finding the area of a triangle
1260,Percentages of an Amount,Calculate percentage of an amount mentally where the percent is a decimal,What is \( 5.5 \% \) of \( 400 \) ?,\( 5.5 \),2138.0,Does not understand a percentage can be applied to something not out of 100
1261,Percentages of an Amount,Calculate percentage of an amount mentally where the percent is a decimal,What is \( 5.5 \% \) of \( 400 \) ?,\( 220 \),1070.0,Believes that dividing by 10 gives 1%
1262,Simplifying Expressions by Collecting Like Terms,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( 4 \times d \),1680.0,Does not realize we can omit the multiplication symbol in algebraic expressions
1263,Simplifying Expressions by Collecting Like Terms,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( d 4 \),267.0,Writes the variable before the coefficient in an algebraic term
1264,Simplifying Expressions by Collecting Like Terms,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",\( d^{4} \),1644.0,Confuses collecting like terms with multiplication
1265,Simplifying Surds,Write a surd in the form √a in a simplified form,Simplify \( \sqrt{48} \) as much as possible,\( 16 \sqrt{3} \),2384.0,"When simplifying surds, does not square root the largest square number that goes into the number under the surd before putting it in front of the surd"
1266,Simplifying Surds,Write a surd in the form √a in a simplified form,Simplify \( \sqrt{48} \) as much as possible,\( 2 \sqrt{12} \),2020.0,"When simplifying surds, does not use the largest square number to simplify"
1267,Perimeter,Use perimeter to write algebraic expressions,What is an expression for the perimeter of this rectangle? ![Yellow rectangle with base length a and side length b](),\( a b \),833.0,"When calculating perimeter, multiplies instead of adds"
1268,Perimeter,Use perimeter to write algebraic expressions,What is an expression for the perimeter of this rectangle? ![Yellow rectangle with base length a and side length b](),\( a+b \),1706.0,"When calculating perimeter, only adds the marked lengths"
1269,Perimeter,Use perimeter to write algebraic expressions,What is an expression for the perimeter of this rectangle? ![Yellow rectangle with base length a and side length b](),Not enough information,935.0,Fails to use the properties of simple shapes to work out missing lengths
1270,Dividing Fractions,Divide proper fractions in the form: Integer ÷ Fraction,"Calculate
\(
2 \div \frac{1}{5}
\)",\( \frac{2}{5} \),733.0,"When dividing an integer by a fraction, thinks they can just multiply instead."
1271,Dividing Fractions,Divide proper fractions in the form: Integer ÷ Fraction,"Calculate
\(
2 \div \frac{1}{5}
\)",\( \frac{1}{10} \),1152.0,"When dividing fractions, does the reciprocal of the first fraction instead of the second"
1272,Dividing Fractions,Divide proper fractions in the form: Integer ÷ Fraction,"Calculate
\(
2 \div \frac{1}{5}
\)",\( \frac{5}{2} \),1749.0,"When dividing fractions, does the reciprocal of both fractions"
1273,Place Value,Use inequality notation to order integers with the same number of digits,"Which symbol makes the following statement correct?
\[
1,959,909 \quad
 \square \quad
1,995,902
\]",\( > \),1365.0,"When ordering integers, orders from the digits at the end of the number instead of the digits at the start"
1274,Place Value,Use inequality notation to order integers with the same number of digits,"Which symbol makes the following statement correct?
\[
1,959,909 \quad
 \square \quad
1,995,902
\]",\( = \),1828.0,Does not understand inequality notation
1275,Place Value,Use inequality notation to order integers with the same number of digits,"Which symbol makes the following statement correct?
\[
1,959,909 \quad
 \square \quad
1,995,902
\]",None of these,1828.0,Does not understand inequality notation
1276,Transformations of functions in the form f(x),Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",1889.0,Believes f(x - a) translates the function up a units
1277,Transformations of functions in the form f(x),Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",1234.0,Believes f(x + a) translates the function up a units
1278,Transformations of functions in the form f(x),Identify horizontal translations in the form f(x) = for non-trigonometric functions,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",1312.0,Believes f(x) + a translates the function right a units
1279,"Averages (mean, median, mode) from a List of Data",Convert fractions less than 1 to terminating decimals of 1 decimal place,"What is the mode of the following numbers?
\(
0.4, \quad \frac{1}{4}, \quad 2.5, \quad \frac{2}{5}
\)",\( 0.4 \) and \( 2.5 \),2368.0,Converts a fraction to a percentage by placing a decimal point between the numerator and denominator
1280,BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",\( 12 \div 2+1 \times 2= \),\( 3 \),15.0,"Confuses the order of operations, believes addition comes before division"
1281,BIDMAS,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",\( 12 \div 2+1 \times 2= \),\( 14 \),1507.0,Carries out operations from left to right regardless of priority order
1282,Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Which option gives a correct substitution into the quadratic formula to solve the quadratic equation? \( 2 x^{2}-8 x+7=0 \),\( -8 \pm \frac{\sqrt{(-8)^{2}-4(2)(7)}}{2(2)} \),1044.0,Misremembers the quadratic formula
1283,Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Which option gives a correct substitution into the quadratic formula to solve the quadratic equation? \( 2 x^{2}-8 x+7=0 \),\( 8 \pm \frac{\sqrt{(-8)^{2}-4(2)(7)}}{2(2)} \),1044.0,Misremembers the quadratic formula
1284,Quadratic Equations,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Which option gives a correct substitution into the quadratic formula to solve the quadratic equation? \( 2 x^{2}-8 x+7=0 \),\( \frac{-8 \pm \sqrt{(-8)^{2}-4(2)(7)}}{2(2)} \),1044.0,Misremembers the quadratic formula
1285,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an odd numbered list of data,"What is the median of the following numbers?
\[
3,5,6,18,18
\]",\( 10 \),732.0,Finds the mean instead of the median
1286,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an odd numbered list of data,"What is the median of the following numbers?
\[
3,5,6,18,18
\]",\( 12 \),461.0,"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value"
1287,"Averages (mean, median, mode) from a List of Data",Calculate the median as an average from an odd numbered list of data,"What is the median of the following numbers?
\[
3,5,6,18,18
\]",\( 18 \),2198.0,Finds the mode instead of the median
1288,Currency Conversions,Given a situation sketch an appropriate real life graph,"\( £ 1 \) is \( 1.5 \) US dollars.
Which of these graphs shows the value of up to \( £ 10 \) in US dollars?","![A straight horizontal line graph from 15 on the y axis. Y axis labelled US dollars extending to 15, x axis labelled pounds extending to 10]()",2371.0,Believes a direct proportion graph is a horizontal line
1289,Currency Conversions,Given a situation sketch an appropriate real life graph,"\( £ 1 \) is \( 1.5 \) US dollars.
Which of these graphs shows the value of up to \( £ 10 \) in US dollars?","![A straight line graph from approx 5 on the y axis. Y axis labelled US dollars extending to 15, x axis labelled pounds extending to 10]()",300.0,Believes a direct proportion graph does not have to start at the origin
1290,Solving Quadratic Inequalities,Solve quadratic inequalities from the graph of the quadratic,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{-2 \leq x \leq 3\} \),1771.0,Believes the solution of a quadratic inequality is always the interval between the roots
1291,Solving Quadratic Inequalities,Solve quadratic inequalities from the graph of the quadratic,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{-2 \geq x \geq 3\} \),1590.0,Believes any two inequalities can be combined into a double inequality
1292,Solving Quadratic Inequalities,Solve quadratic inequalities from the graph of the quadratic,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{x \geq-2\} \cup\{x \leq 3\} \),1880.0,Mixes up greater than and less than symbols
1293,Compound Area,"Calculate compound area involving just rectangles and squares, where the dimensions are given in the same units","What is the area of this compound shape made with rectangles? ![Compound shape made of two rectangles with the sides labelled 10 cm, 7 cm, 3 cm and 4 cm. Two sides are unlabelled]()",\( 840 \mathrm{~cm}^{2} \),71.0,Multiplies all given dimensions when calculating an area
1294,Compound Area,"Calculate compound area involving just rectangles and squares, where the dimensions are given in the same units","What is the area of this compound shape made with rectangles? ![Compound shape made of two rectangles with the sides labelled 10 cm, 7 cm, 3 cm and 4 cm. Two sides are unlabelled]()",\( 52 \mathrm{~cm}^{2} \),1953.0,Makes an assumption about line segments being equal within a shape
1295,Compound Area,"Calculate compound area involving just rectangles and squares, where the dimensions are given in the same units","What is the area of this compound shape made with rectangles? ![Compound shape made of two rectangles with the sides labelled 10 cm, 7 cm, 3 cm and 4 cm. Two sides are unlabelled]()",\( 51 \mathrm{~cm}^{2} \),1148.0,Uses an incorrect side length when splitting a composite shape into parts
1296,Rounding to Decimal Places,Round non-integers to other non-integer values (e.g. 0.02),What is \( \mathbf{1 . 5 1 6} \) rounded to the nearest \( \mathbf{0 . 0 5} \) ?,\( 1.55 \),1988.0,Rounds up instead of down
1297,Rounding to Decimal Places,Round non-integers to other non-integer values (e.g. 0.02),What is \( \mathbf{1 . 5 1 6} \) rounded to the nearest \( \mathbf{0 . 0 5} \) ?,\( 1.52 \),1248.0,Rounds to the wrong degree of accuracy (rounds too little)
1298,Inequalities on Number Lines,Represent a linear inequality in the form x ≤ a or x ≥ b (and other sign arrangements) on a numberline,Which of the following diagrams represents \( x<-1 \) or \( x \geq 2 \) ?,![Number line from -5 to 5. Closed circle at -1 with arrow to the left. Open circle at 2 with arrow to the right. ](),550.0,"When representing an inequality on a numberline, assumes the filled and unfilled circles have the opposite meaning."
1299,Ordering Decimals,Order decimals with a different number of digits,Which number is the greatest?,\( 6.079 \),1365.0,"When ordering integers, orders from the digits at the end of the number instead of the digits at the start"
1300,Parallel Lines,Recognise the notation for parallel lines,This notation means that these two lines are: ![Pair of parallel lines](),Equal,1480.0,Does not recognise the notation for parallel sides
1301,Parallel Lines,Recognise the notation for parallel lines,This notation means that these two lines are: ![Pair of parallel lines](),Perpendicular,1480.0,Does not recognise the notation for parallel sides
1302,Parallel Lines,Recognise the notation for parallel lines,This notation means that these two lines are: ![Pair of parallel lines](),Horizontal,1480.0,Does not recognise the notation for parallel sides
1303,Plotting Lines from Tables of Values,"Given a positive x value, find a y value in a table of values for lines in the form ax + by = c","This is a part of the table of values for the equation
\[
10 x-6 y=30
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 0.5 \) \\
\hline
\end{tabular} What should replace the star?",\( 2.7 \),1214.0,"When solving an equation, uses the same operation rather than the inverse."
1304,Linear Equations,"Solve one-step linear equations requiring multiplication or division, involving positive decimals","Solve the equation:
\[
0.45=0.3 p
\]",\( p=\frac{2}{3} \),2359.0,Believes division is commutative 
1305,Linear Equations,"Solve one-step linear equations requiring multiplication or division, involving positive decimals","Solve the equation:
\[
0.45=0.3 p
\]",\( p=0.135 \),975.0,"When solving an equation, multiplies instead of dividing "
1306,Factors and Highest Common Factor,Recognise when to find the Lowest Common Multiple to solve a problem,"Sophie is organising a charity hot dog sale.
There are \( 18 \) bread rolls in each packet.
There are \( 15 \) hot dogs in each packet.
Sophie buys exactly the same number of bread rolls as hot dogs.
What is the smallest number of each packet that Sophie can buy?

To solve this problem you need to work out the \( ___ \) of \( 18 \) and \( 15 \)",Product,1470.0,"Does not know the meaning of the word ""product"""
1307,Factors and Highest Common Factor,Recognise when to find the Lowest Common Multiple to solve a problem,"Sophie is organising a charity hot dog sale.
There are \( 18 \) bread rolls in each packet.
There are \( 15 \) hot dogs in each packet.
Sophie buys exactly the same number of bread rolls as hot dogs.
What is the smallest number of each packet that Sophie can buy?

To solve this problem you need to work out the \( ___ \) of \( 18 \) and \( 15 \)",Sum,2130.0,"Does not know the meaning of the word ""sum"""
1308,Factors and Highest Common Factor,Recognise when to find the Lowest Common Multiple to solve a problem,"Sophie is organising a charity hot dog sale.
There are \( 18 \) bread rolls in each packet.
There are \( 15 \) hot dogs in each packet.
Sophie buys exactly the same number of bread rolls as hot dogs.
What is the smallest number of each packet that Sophie can buy?

To solve this problem you need to work out the \( ___ \) of \( 18 \) and \( 15 \)",Highest Common Factor,1356.0,Confuses the use of LCM and HCF in real life examples 
1309,Congruency in Other Shapes,Identify congruence in shapes other than triangles,Tom and Katie are discussing congruent shapes. Who is correct? Tom says these two shapes are congruent ![An image of two triangles. The triangles are the same shape and size but have different orientations.]() Katie says these two shapes are congruent ![An image of two triangles. A big one and a small one.](),"Only
Katie",2312.0,Thinks congruent shapes are the same shape but can be different sizes
1310,Congruency in Other Shapes,Identify congruence in shapes other than triangles,Tom and Katie are discussing congruent shapes. Who is correct? Tom says these two shapes are congruent ![An image of two triangles. The triangles are the same shape and size but have different orientations.]() Katie says these two shapes are congruent ![An image of two triangles. A big one and a small one.](),Both Tom and Katie,2312.0,Thinks congruent shapes are the same shape but can be different sizes
1311,Congruency in Other Shapes,Identify congruence in shapes other than triangles,Tom and Katie are discussing congruent shapes. Who is correct? Tom says these two shapes are congruent ![An image of two triangles. The triangles are the same shape and size but have different orientations.]() Katie says these two shapes are congruent ![An image of two triangles. A big one and a small one.](),Neither is correct,1318.0,Does not understand that shapes are congruent if they have the same size and shape
1312,Quadratic Equations,Solve quadratic equations using factorisation in the form x(x + b) ,"Solve this equation, giving all solutions:
\[
k^{2}=4 k
\]",\( k=4 \),1803.0,Believes they can divide by a variable without checking whether it could equal zero
1313,Linear Equations,"Solve linear equations with the variable appearing on both sides, involving negative integers","Which step of the balance diagram is incorrect? ![Image of an equation and three lines of working to solve it.
The equation is 4p+5=2p-9
Step A is 4p=2p-4
Step B is 2p= -4
Step C is p= -2]()",They are all correct,1696.0,Heads towards zero when subtracting from a negative
1314,Factorising into a Double Bracket,Factorise a quadratic expression in the form x² - bx - c,"Tom and Katie are arguing about factorising. Tom says \( x^{2}+5 x+6 \equiv(x+3)(x+2) \) 
Katie says \( x^{2}-5 x-6 \equiv(x-3)(x-2) \) 
Who is correct?",Both Tom and Katie,1597.0,Believes multiplying two negatives gives a negative answer
1315,Area of Simple Shapes,Calculate the area of a trapezium where the dimensions are given in the same units,"Sally wants to calculate the area of this trapezium using the formula: Area \( =\left(\frac{a+b}{2}\right) h \) ![A trapezium with the parallel sides labelled 6cm and 2cm, the slant height labelled 7cm and the perpendicular height labelled 5cm.]() What is the values of \( h \) ?",\( 6 \mathrm{~cm} \),396.0,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides
1316,Area of Simple Shapes,Calculate the area of a trapezium where the dimensions are given in the same units,"Sally wants to calculate the area of this trapezium using the formula: Area \( =\left(\frac{a+b}{2}\right) h \) ![A trapezium with the parallel sides labelled 6cm and 2cm, the slant height labelled 7cm and the perpendicular height labelled 5cm.]() What is the values of \( h \) ?",\( 7 \mathrm{~cm} \),2332.0,Uses slant height instead of perpendicular height to find area of a trapezium
1317,Area of Simple Shapes,Calculate the area of a trapezium where the dimensions are given in the same units,"Sally wants to calculate the area of this trapezium using the formula: Area \( =\left(\frac{a+b}{2}\right) h \) ![A trapezium with the parallel sides labelled 6cm and 2cm, the slant height labelled 7cm and the perpendicular height labelled 5cm.]() What is the values of \( h \) ?",\( 2 \mathrm{~cm} \),396.0,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides
1318,Rotation,"Describe a 90° or 270° rotation giving the angle and direction of rotation, and the coordinates of the centre of rotation, where the centre of rotation lies on the edge or outside of the object ","Jo and Paul are arguing about how to fully describe the rotation from shape \( P \) to shape \( Q \)

Jo says: ""a rotation of \( 90^{\degree} \) anticlockwise""

Paul says: ""a rotation of \( +270^{\degree} \) about \( (-1,1)^{\prime \prime} \)

Who is correct? ![A coordinate grid with two trapeziums drawn on it and a centre of rotation marked on, one space to the right and one space up from the origin. Trapezium P has the coordinates: (-4,4) (-2,4) (-2,3) and (-4,1). Trapezium Q has the coordinates: (-4,-2) (-4,0) (-3,0) and (-1,-2).]()","Only
Jo",801.0,Forgets to give the centre of rotation
1319,Rotation,"Describe a 90° or 270° rotation giving the angle and direction of rotation, and the coordinates of the centre of rotation, where the centre of rotation lies on the edge or outside of the object ","Jo and Paul are arguing about how to fully describe the rotation from shape \( P \) to shape \( Q \)

Jo says: ""a rotation of \( 90^{\degree} \) anticlockwise""

Paul says: ""a rotation of \( +270^{\degree} \) about \( (-1,1)^{\prime \prime} \)

Who is correct? ![A coordinate grid with two trapeziums drawn on it and a centre of rotation marked on, one space to the right and one space up from the origin. Trapezium P has the coordinates: (-4,4) (-2,4) (-2,3) and (-4,1). Trapezium Q has the coordinates: (-4,-2) (-4,0) (-3,0) and (-1,-2).]()",Both Jo and Paul,801.0,Forgets to give the centre of rotation
1320,Rotation,"Describe a 90° or 270° rotation giving the angle and direction of rotation, and the coordinates of the centre of rotation, where the centre of rotation lies on the edge or outside of the object ","Jo and Paul are arguing about how to fully describe the rotation from shape \( P \) to shape \( Q \)

Jo says: ""a rotation of \( 90^{\degree} \) anticlockwise""

Paul says: ""a rotation of \( +270^{\degree} \) about \( (-1,1)^{\prime \prime} \)

Who is correct? ![A coordinate grid with two trapeziums drawn on it and a centre of rotation marked on, one space to the right and one space up from the origin. Trapezium P has the coordinates: (-4,4) (-2,4) (-2,3) and (-4,1). Trapezium Q has the coordinates: (-4,-2) (-4,0) (-3,0) and (-1,-2).]()",Neither is correct,95.0,Does not know about the + notation for directions in rotations
1321,Volume and Capacity Units,Convert between l and m³ ,\( 10 \) litres \( =\square \) cubic metres,\( 10000 \),1651.0,Multiplies when converting to a larger unit
1322,Volume and Capacity Units,Convert between l and m³ ,\( 10 \) litres \( =\square \) cubic metres,\( 10 \),230.0,Thinks 1l = 1 cubic metre
1323,Sequences-Others,Describe a descending linear sequence in words,"Which statement correctly describes this sequence?

\[
7,2,-3, \ldots
\]",The first term is \( 7 \) and the term-to-term rule is \( +5 \),1716.0,Goes the wrong direction in the sequence when identifying term-to-term rule
1324,Sequences-Others,Describe a descending linear sequence in words,"Which statement correctly describes this sequence?

\[
7,2,-3, \ldots
\]",The first term is \( 7 \) and the position-to-term rule is \( -5 \),1411.0,Describes term to term rules using position to term rules
1325,Sequences-Others,Describe a descending linear sequence in words,"Which statement correctly describes this sequence?

\[
7,2,-3, \ldots
\]",The first term is \( 12 \) and the position-to-term rule is \( -5 \),936.0,Thinks the first term in a sequence is the term before the sequence begins (0th term)
1326,Simplifying Surds,Add surds in the form va + vb,"\(
\sqrt{3}+\sqrt{5}
\)

Simplify, if possible.",\( 3 \sqrt{5} \),937.0,"When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round"
1327,Simplifying Surds,Add surds in the form va + vb,"\(
\sqrt{3}+\sqrt{5}
\)

Simplify, if possible.",\( \sqrt{8} \),44.0,"When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds"
1328,Simplifying Surds,Add surds in the form va + vb,"\(
\sqrt{3}+\sqrt{5}
\)

Simplify, if possible.",\( \sqrt{15} \),349.0,"When adding surds, just multiplies the numbers under the surd rather than first trying to simplifying to find like surds"
1329,Ordering Fractions,Read a fraction on a scale where the required number is marked by a dash between two numbers,What fraction is the arrow pointing to? ![An image of a numberline with 5 dashes. On the leftmost dash is the number 1/5. On the rightmost dash is the number 3/5. An arrow points to the 4th dash from the left](),\( \frac{2}{5} \),990.0,Does not realise you can use equivalent fractions to break fractions up into smaller divisions
1330,Ordering Fractions,Read a fraction on a scale where the required number is marked by a dash between two numbers,What fraction is the arrow pointing to? ![An image of a numberline with 5 dashes. On the leftmost dash is the number 1/5. On the rightmost dash is the number 3/5. An arrow points to the 4th dash from the left](),\( \frac{3}{4} \),2012.0,When reading a dash on a number line does not take into account the number at the start or the width of each division
1331,Ordering Fractions,Read a fraction on a scale where the required number is marked by a dash between two numbers,What fraction is the arrow pointing to? ![An image of a numberline with 5 dashes. On the leftmost dash is the number 1/5. On the rightmost dash is the number 3/5. An arrow points to the 4th dash from the left](),There is no such fraction,990.0,Does not realise you can use equivalent fractions to break fractions up into smaller divisions
1332,Rounding to Decimal Places,Round numbers to one decimal place,\( 58.2684 \) to \( 1 \) decimal place is....,\( 58.2 \),1379.0,Rounds down instead of up
1333,Rounding to Decimal Places,Round numbers to one decimal place,\( 58.2684 \) to \( 1 \) decimal place is....,\( 59.3 \),2330.0,Rounds incorrectly by changing multiple place values
1334,Rounding to Decimal Places,Round numbers to one decimal place,\( 58.2684 \) to \( 1 \) decimal place is....,\( 59.2 \),2330.0,Rounds incorrectly by changing multiple place values
1335,"Square Roots, Cube Roots, etc",Calculate the cube root of a number,\( \sqrt[3]{8}= \),\( 2 . \dot{6} \),414.0,Divides by the order of the root
1336,"Square Roots, Cube Roots, etc",Calculate the cube root of a number,\( \sqrt[3]{8}= \),\( 4 \),1881.0,Halves when asked to find the cube root
1337,"Square Roots, Cube Roots, etc",Calculate the cube root of a number,\( \sqrt[3]{8}= \),\( 64 \),1032.0,Confuses cube rooting with squaring a number
1338,Reflection,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line.
What are the new coordinates of point \( P \) ? ![A set of axes: x-axis from -1 to 7, y-axis from -2 to 8. Three points are plotted and joined to make a triangle: (2, 4), (4, 4), (2, 7). Point (2, 4) is labelled with the letter ""P"". The line y=4 is shown with a blue dashed line.]()","\( (2,3) \)",282.0,Does not understand that a point on the line of reflection will stay the same when reflected 
1339,Reflection,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line.
What are the new coordinates of point \( P \) ? ![A set of axes: x-axis from -1 to 7, y-axis from -2 to 8. Three points are plotted and joined to make a triangle: (2, 4), (4, 4), (2, 7). Point (2, 4) is labelled with the letter ""P"". The line y=4 is shown with a blue dashed line.]()","\( (2,2) \)",282.0,Does not understand that a point on the line of reflection will stay the same when reflected 
1340,Reflection,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","The triangle is reflected in the dashed line.
What are the new coordinates of point \( P \) ? ![A set of axes: x-axis from -1 to 7, y-axis from -2 to 8. Three points are plotted and joined to make a triangle: (2, 4), (4, 4), (2, 7). Point (2, 4) is labelled with the letter ""P"". The line y=4 is shown with a blue dashed line.]()","\( (2,-4) \)",2155.0,"Reflects in an axis, instead of the given mirror line"
1341,Substitution into Formula,Substitute positive integer values into expressions involving no powers or roots,"When \( h=15 \) and \( j=3 \)
Which of the following pairs of statements is true?",\( \begin{array}{l}h(j+2)=75 \\ h(2+j)=-75\end{array} \),1336.0,Does not realise addition is commutative
1342,Substitution into Formula,Substitute positive integer values into expressions involving no powers or roots,"When \( h=15 \) and \( j=3 \)
Which of the following pairs of statements is true?",\( \begin{array}{l}h(j+2)=23 \\ h(2+j)=32\end{array} \),1336.0,Does not realise addition is commutative
1343,Substitution into Formula,Substitute positive integer values into expressions involving no powers or roots,"When \( h=15 \) and \( j=3 \)
Which of the following pairs of statements is true?",\( \begin{array}{l}h(j+2)=32 \\ h(2+j)=23\end{array} \),1336.0,Does not realise addition is commutative
1344,Range and Interquartile Range from a List of Data,Calculate the range from a list of data,"What is the range of the following numbers?
\[
0.2, \quad 0.22, \quad 0.212
\]",\( 0.012 \),397.0,When calculating the range does not reorder the data to find the largest number minus the smallest number
1345,Range and Interquartile Range from a List of Data,Calculate the range from a list of data,"What is the range of the following numbers?
\[
0.2, \quad 0.22, \quad 0.212
\]",\( 0.21 \),397.0,When calculating the range does not reorder the data to find the largest number minus the smallest number
1346,Range and Interquartile Range from a List of Data,Calculate the range from a list of data,"What is the range of the following numbers?
\[
0.2, \quad 0.22, \quad 0.212
\]",\( 0.2 \),2346.0,"When subtracting decimals with a different number of decimal places, lines up the digits incorrectly"
1347,Writing Ratios,Convert fractions to ratios,"\( \frac{1}{5} \) of the counters in a bag are blue.
\( \frac{3}{10} \) of the counters are red.
\( \frac{1}{2} \) of the counters are purple.
Which of these show the ratio of blue : red : purple? ![An image of a bag]()",\( 1: 3: 1 \),1223.0,Uses numerators to convert fractions to ratio despite different denominators
1348,Writing Ratios,Convert fractions to ratios,"\( \frac{1}{5} \) of the counters in a bag are blue.
\( \frac{3}{10} \) of the counters are red.
\( \frac{1}{2} \) of the counters are purple.
Which of these show the ratio of blue : red : purple? ![An image of a bag]()",\( 5: 10: 2 \),1820.0,"Uses the denominator when converting from fractions to ratio, rather than numerator."
1349,Converting between Decimals and Percentages,Convert percentages containing 1 decimal place to decimals,How do you write \( 2.5 \% \) as a decimal?,\( 0.25 \),1270.0,Divides by 10 instead of 100 when converting a percentage to a decimal 
1350,Converting between Decimals and Percentages,Convert percentages containing 1 decimal place to decimals,How do you write \( 2.5 \% \) as a decimal?,\( 2.5 \),1756.0,Thinks you need to just remove the percentage sign to convert from a percentage to a decimal
1351,Dividing Fractions,Divide proper fractions in the form: Integer ÷ Fraction,How many times does \( \frac{3}{5} \) go into \( 15 \) ?,\( \frac{45}{75} \),1008.0,"When dividing an integer by a fraction, thinks they multiply numerator and denominator by the integer"
1352,Dividing Fractions,Divide proper fractions in the form: Integer ÷ Fraction,How many times does \( \frac{3}{5} \) go into \( 15 \) ?,\( 75 \),839.0,"When dividing by a non unit fraction, thinks you multiply by the reciprocal of the corresponding unit fraction rather than the fraction given. "
1353,Dividing Fractions,Divide proper fractions in the form: Integer ÷ Fraction,How many times does \( \frac{3}{5} \) go into \( 15 \) ?,\( 9 \),609.0,"when dividing a fraction by an integer, multiplies the numerator by the integer"
1354,Place Value,Recognise the place value of each digit in integers,"What is the value of the \( 3 \) in the number
\[
7,359,250 \text { ? }
\]",\( 3 \),1428.0,"Does not understand the meaning of ""value"""
1355,Place Value,Recognise the place value of each digit in integers,"What is the value of the \( 3 \) in the number
\[
7,359,250 \text { ? }
\]","\( 30,000 \)",242.0,Thinks the hundred thousands column is the ten thousands column
1356,Place Value,Recognise the place value of each digit in integers,"What is the value of the \( 3 \) in the number
\[
7,359,250 \text { ? }
\]",\( 300 \),1016.0,Confuses the hundreds and hundred thousands place value columns
1357,Factorising into a Double Bracket,Factorise a quadratic expression in the form x² + bx + c,"Factorise this expression, if possible:
\(
p^{2}+25 p+100
\)",\( (p+25)(p+4) \),1535.0,"Believes that when factorising a quadratic, they can choose any two numbers that multiply to give the constant"
1358,Factorising into a Double Bracket,Factorise a quadratic expression in the form x² + bx + c,"Factorise this expression, if possible:
\(
p^{2}+25 p+100
\)",\( (p+5)(p+5) \),1606.0,Believes the coefficent of x in an expanded quadratic comes from multiplying the two numbers in the brackets
